InvoiceNo,InvoiceDate,ProductNo,Quantity,Unit,ProductName,PackSize,ChemicalName
9,2015-02-01 00:00:00,154,3,stp,Neurobion Blue,10 tab * 10 stp * box,"B1, B6, B12"
9,2015-02-01 00:00:00,75,60,tab,Centrum Silver,285 tab * bot,Multivitamins and Minerals
9,2015-02-01 00:00:00,206,2,stp,Bronchest,10 tab * 50 stp * box,Cough Tablet
9,2015-02-01 00:00:00,170,40,tab,Ribovit,100 tab * bot,Riboflavin
9,2015-02-01 00:00:00,162,1,bot,Cevit Pol,100 tab * bot,ascorbic acid
9,2015-02-01 00:00:00,544,1,stp,Norgetex,10 tab * stp,Orphenadrine and Paracetamol
9,2015-02-01 00:00:00,220,2,tab,Vicks,105 tab * bot,Cough Tablet
12,2015-02-01 00:00:00,598,1,box,25% Glucose Zedi,5 amp * box,Glucose inj
12,2015-02-01 00:00:00,600,1,box,b12 inj (FBC),10 amp * box,b12
12,2015-02-01 00:00:00,599,1,box,b6 inj (FBC),10 amp * box,b6
12,2015-02-01 00:00:00,306,4,stp,Digene,12 tab * 90 stp * box,Aluminium Hydroxide
12,2015-02-01 00:00:00,601,1,box,Burmeton Thai inj,10 amp * box,Burmeton
12,2015-02-01 00:00:00,535,1,stp,Brulexin 500,10 cap * 10 stp * box,Cephalexin
12,2015-02-01 00:00:00,208,4,stp,Solvin Tablet,10 tab * 10 stp * box,Bromhexine
12,2015-02-01 00:00:00,302,3,stp,Loratidine We Care,10 tab * 10 stp * box,Loratadine
12,2015-02-01 00:00:00,370,3,sac,ORS MPF Green,50 sac * box,ORS
12,2015-02-01 00:00:00,602,5,amp,Buscopan inj,10 amp * box,Hyoscine Butylbromide
12,2015-02-01 00:00:00,205,3,stp,Sofkof,10 cap * 10 stp * box,Cough tablet with Chlopheniramine 
12,2015-02-01 00:00:00,182,2,stp,Umetac 150,10 tab * 10 stp * box,Ranitidine
12,2015-02-01 00:00:00,229,1,stp,Metro-250(Umedica),10 tab * 10 stp * box,Metronidazole
12,2015-02-01 00:00:00,603,5,amp,Stemetil inj,12 amp * box,prochlorperazine mesylate
12,2015-02-01 00:00:00,604,1,bot,Depo M,bot,Depo
12,2015-02-01 00:00:00,573,1,pcs,Elite Strip,50 pcs * box,Strip
12,2015-02-01 00:00:00,605,17,pcs,Needle 21G,100 pcs * box,Needle
15,2015-02-01 00:00:00,413,1,bot,????? ??????????,10 bot * pack,Myanmar Ear Drop
15,2015-02-01 00:00:00,74,1,stp,Oramin G,5 cap * 6 stp * box,Multivitamins and Minerals
15,2015-02-01 00:00:00,57,5,tab,Enervon-C 100's,100 tab * bot,B complex with C
15,2015-02-01 00:00:00,17,1,stp,Vitacap,10 cap * 5 stp * box,Multivitamins and Minerals
15,2015-02-01 00:00:00,217,5,stp,Mixagrip,4 tab * 25 stp * box,Paracetamol
15,2015-02-01 00:00:00,302,1,stp,Loratidine We Care,10 tab * 10 stp * box,Loratadine
15,2015-02-01 00:00:00,265,1,stp,Dimenhydrinate,10 tab * 100 stp * box,Dimenhydrinate
15,2015-02-01 00:00:00,20,1,stp,iiCare,10 cap * 3 stp * box,Eye 
15,2015-02-01 00:00:00,152,1,stp,Betex,10 tab * 25 stp * box,"B1, B6, B12"
15,2015-02-01 00:00:00,57,10,tab,Enervon-C 100's,100 tab * bot,B complex with C
15,2015-02-01 00:00:00,260,2,stp,Lensen Tab,10 tab * 10 stp * box,Paracetamol
15,2015-02-01 00:00:00,91,2,stp,Enam 5,10 tab * 10 stp * box,Enalapril 
15,2015-02-01 00:00:00,166,1,bot,Folic Acid bpi,100 tab * bot,folic Acid
15,2015-02-01 00:00:00,167,1,bot,Furamine BC,100 tab * bot,Ferrous Fumarate
15,2015-02-01 00:00:00,153,3,stp,Neurion,10 tab * 100 stp * box,"B1, B6, B12"
15,2015-02-01 00:00:00,66,3,stp,Becozinc Cap,10 cap * 3 stp * box,Multivitamins and Minerals
15,2015-02-01 00:00:00,89,2,stp,Cardiopril 2.5,10 tab * 10 stp * box,Ramipril
15,2015-02-01 00:00:00,111,2,stp,Clopilet,10 tab * 3 stp * box,Clopidogrel
15,2015-02-01 00:00:00,127,3,stp,Rozavel 5,10 tab * 5 stp * box,Rosuvastatin
15,2015-02-01 00:00:00,84,3,stp,Cardivas 3.125,10 tab * 3 stp * box,Carvedilol
15,2015-02-01 00:00:00,152,3,stp,Betex,10 tab * 25 stp * box,"B1, B6, B12"
15,2015-02-01 00:00:00,440,1,bot,???????????? ??????? ??????,6 bot * 2 pack * dz,Myanmar Analgesic
15,2015-02-01 00:00:00,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
15,2015-02-01 00:00:00,365,1,roll,"2"" Bandage Pyae Wa",10 roll * pack,Bandage
15,2015-02-01 00:00:00,301,1,stp,Cetrine,10 tab * 10 stp * box,Cetrizine
15,2015-02-01 00:00:00,616,1,box,Gentamycin Inj(FBC),10 amp * box,Gentamycin
15,2015-02-01 00:00:00,617,2,amp,Gentamycin Taiwan inj,50 amp * box,Gentamycin
15,2015-02-01 00:00:00,282,2,stp,Denzo,10 tab * stp,Serratio-Peptidase 5mg
15,2015-02-01 00:00:00,455,2,bot,???????? ????????,12 bot * dz,Myanmar Supplement
15,2015-02-01 00:00:00,126,1,stp,Aztor 10,10 tab * 5 stp * box,Atorvastatin
15,2015-02-01 00:00:00,549,4,sac,Mybacin Pack,70 sac * pack,Lozenges
7,2015-02-01 00:00:00,170,1,bot,Ribovit,100 tab * bot,Riboflavin
7,2015-02-01 00:00:00,552,1,stp,DMR 30,30 tab * 2 stp * box,Gliclazide
8,2015-02-01 00:00:00,64,1,stp,Magnese Denk,10 cap * 5 stp * box,Magnesium
8,2015-02-01 00:00:00,555,1,stp,Ferofort,10 cap * 10 stp * box,Multivitamins and Minerals
8,2015-02-01 00:00:00,142,2,stp,Reclide mr 60,10 tab * 10 stp * box,Gliclazide
8,2015-02-01 00:00:00,149,1,stp,Metformin denk 850,15 tab * 8 stp * box,Metformin 
10,2015-02-01 00:00:00,75,30,tab,Centrum Silver,285 tab * bot,Multivitamins and Minerals
10,2015-02-01 00:00:00,362,1,bot,Spirit 100ml Plastic bot mpf,60 bot * box,Spirit
10,2015-02-01 00:00:00,366,1,roll,"3"" Bandage Pyae Wa",10 roll * pack,Bandage
10,2015-02-01 00:00:00,73,1,stp,Oramin F,5 cap * 6 stp * box,Multivitamins and Minerals
10,2015-02-01 00:00:00,74,1,stp,Oramin G,5 cap * 6 stp * box,Multivitamins and Minerals
10,2015-02-01 00:00:00,114,1,stp,Arthrostop,10 tab * 6 stp * box,Glucosamine
10,2015-02-01 00:00:00,164,1,bot,Burmeton pol,100 tab * bot,Chlorphenamine Maleate
10,2015-02-01 00:00:00,42,1,bot,Arcalion,30 tab * bot,sulbutiamine
10,2015-02-01 00:00:00,18,3,stp,Supravit,10 tab * 10 stp * box,Multivitamins and Minerals
10,2015-02-01 00:00:00,170,1,bot,Ribovit,100 tab * bot,Riboflavin
11,2015-02-01 00:00:00,472,1,tube,Gentalene C ,12 tube * box,"Betamethasone Dipropionate, Gentamycin, Clotrimoxazole"
13,2015-02-01 00:00:00,606,2,Vial,Dexacort inj,24 Vial * box,Dexamethasone
14,2015-02-01 00:00:00,232,2,stp,Flumox Cap,10 cap * 10 stp * box,Amoxicillin and Flucloxacillin
16,2015-02-01 00:00:00,155,1,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
16,2015-02-01 00:00:00,220,1,tab,Vicks,105 tab * bot,Cough Tablet
17,2015-02-01 00:00:00,554,2,tube,Trinpac Gel,tube,Erythromycin Gel
18,2015-03-01 00:00:00,591,5,sheet,Counter Plaster,100 sheet * box,Plaster
18,2015-03-01 00:00:00,168,1,bot,Gelmag Pol ????,50 tab * bot,Magnesium Trisilicate
19,2015-03-01 00:00:00,388,1,bot,????????? ?????? ???,6 bot * 2 pack * dz,Myanmar Digestive
20,2015-03-01 00:00:00,364,5,tab,Move Free,170 tab * bot,Glucosamine
20,2015-03-01 00:00:00,21,5,cap,Optica,30 cap * bot,Eye
20,2015-03-01 00:00:00,352,3,pcs,Hansaplast Elastic,100 pcs * box,Plaster
20,2015-03-01 00:00:00,641,1,stp,Allopurinol bpi strip,10 tab * 10 stp * box,Allopurinol
20,2015-03-01 00:00:00,220,3,tab,Vicks,105 tab * bot,Cough Tablet
21,2015-03-01 00:00:00,388,2,bot,????????? ?????? ???,6 bot * 2 pack * dz,Myanmar Digestive
22,2015-03-01 00:00:00,75,30,tab,Centrum Silver,285 tab * bot,Multivitamins and Minerals
24,2015-03-01 00:00:00,631,1,bot,bCoversyl 5,30 tab * bot,perindopril
24,2015-03-01 00:00:00,135,1,stp,Hypen SR,10 tab * 2 stp * box,Indapamide 1.5
24,2015-03-01 00:00:00,110,1,stp,Zeter,10 tab * 10 stp * box,Clopidogrel
24,2015-03-01 00:00:00,39,1,stp,Contiflo OD ,10 tab * stp,Tamsulosin Hydrochloride
24,2015-03-01 00:00:00,22,2,stp,Amlosun 5,10 tab * 10 stp * box,Amlodipine
24,2015-03-01 00:00:00,529,2,pcs,PaiPlast,100 pcs * box,Plaster
25,2015-03-01 00:00:00,155,2,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
25,2015-03-01 00:00:00,529,2,pcs,PaiPlast,100 pcs * box,Plaster
27,2015-03-01 00:00:00,103,3,stp,Losar Denk 50,14 tab * 2 stp * box,Losartan Potassium
27,2015-03-01 00:00:00,86,2,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
27,2015-03-01 00:00:00,24,3,stp,Stamlo 5,10 tab * 10 stp * box,Amlodipine
27,2015-03-01 00:00:00,348,90,cap,Mega 3 300's,300 cap * bot,Omega 3 Fish Oil
28,2015-03-01 00:00:00,232,1,stp,Flumox Cap,10 cap * 10 stp * box,Amoxicillin and Flucloxacillin
30,2015-03-01 00:00:00,447,1,sac,???????? ????,12 sac * pack,Myanmar anti-Inflammatory
30,2015-03-01 00:00:00,387,2,sac,????????? ?????? ????,10 sac * 12 pack * 2ndPack,Myanmar Digestive
30,2015-03-01 00:00:00,17,1,stp,Vitacap,10 cap * 5 stp * box,Multivitamins and Minerals
30,2015-03-01 00:00:00,239,2,stp,Brucillin 250,10 cap * 10 stp * box,Ampicillin
30,2015-03-01 00:00:00,164,40,tab,Burmeton pol,100 tab * bot,Chlorphenamine Maleate
30,2015-03-01 00:00:00,169,20,tab,Paracetamol Ygn,100 tab * bot,Paracetamol
31,2015-03-01 00:00:00,485,1,stp,Amor,2 tab * stp,levonorgestrel
33,2015-03-01 00:00:00,586,1,stp,Konidin Tab,4 tab * stp,Cough Tablet
33,2015-03-01 00:00:00,551,1,bot,??????? ???????????,12 bot * dz,Myanmar Luxative
33,2015-03-01 00:00:00,256,1,stp,Alaxan Tab,10 tab * 10 stp * box,Ibuprofen and Paracetamol
33,2015-03-01 00:00:00,265,6,stp,Dimenhydrinate,10 tab * 100 stp * box,Dimenhydrinate
33,2015-03-01 00:00:00,388,1,bot,????????? ?????? ???,6 bot * 2 pack * dz,Myanmar Digestive
33,2015-03-01 00:00:00,640,5,pack,Face Mask Hanma,10 pcs * 32 pack * box,Mask
33,2015-03-01 00:00:00,321,1,bot,Urocrush,60 tab * bot,For Renal Stones
33,2015-03-01 00:00:00,57,7,tab,Enervon-C 100's,100 tab * bot,B complex with C
33,2015-03-01 00:00:00,484,1,stp,ecee 2,2 tab * stp,levonorgestrel
33,2015-03-01 00:00:00,86,1,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
33,2015-03-01 00:00:00,304,1,stp,Allercet,10 tab * 10 stp * box,Cetrizine
33,2015-03-01 00:00:00,47,1,stp,Oleanz 10,10 tab * 5 stp * box,Olanzapine 
33,2015-03-01 00:00:00,86,1,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
33,2015-03-01 00:00:00,456,1,bot,??????????????,6 bot * 2 pack * dz,Myanmar Analgesic
33,2015-03-01 00:00:00,191,3,stp,Ermycin 200,10 tab * 10 stp * box,Erythromycin
33,2015-03-01 00:00:00,190,1,stp,Azithromycin 250 Sandoz,6 tab * stp,Azithromycin
33,2015-03-01 00:00:00,548,5,tab,Vertinil,10 tab * 20 stp * box,Cinnarizine
33,2015-03-01 00:00:00,409,2,sac,????????? ???????????,20 sac * pack,Myanmar Analgesic
33,2015-03-01 00:00:00,476,1,tube,Voltex Kool,12 tube * pack,cream
33,2015-03-01 00:00:00,375,1,pack,Tiger Balm Plaster Cool 10cm x 14cm,3 sheet * 12 pack * box,Plaster
33,2015-03-01 00:00:00,395,1,bot,????????????? ?????????????????,10 bot * pack,Myanmar Cough Medicine
33,2015-03-01 00:00:00,206,1,stp,Bronchest,10 tab * 50 stp * box,Cough Tablet
33,2015-03-01 00:00:00,256,1,stp,Alaxan Tab,10 tab * 10 stp * box,Ibuprofen and Paracetamol
33,2015-03-01 00:00:00,155,1,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
33,2015-03-01 00:00:00,655,1,pcs,Wound Plast,100 pcs * box,Plaster
33,2015-03-01 00:00:00,166,1,bot,Folic Acid bpi,100 tab * bot,folic Acid
33,2015-03-01 00:00:00,339,1,bot,Dexoptic N,bot,Eye Drop
33,2015-03-01 00:00:00,213,2,stp,Decolgen Forte,10 tab * 10 stp * box,Acetaminophen
34,2015-03-01 00:00:00,125,1,stp,Atocor 10,10 tab * 10 stp * box,Atorvastatin
34,2015-03-01 00:00:00,656,1,stp,Sedacoron,10 tab * stp,amiodarone
29,2015-03-01 00:00:00,254,1,stp,Coxib 100,10 tab * 3 stp * box,Celecoxib
29,2015-03-01 00:00:00,260,1,stp,Lensen Tab,10 tab * 10 stp * box,Paracetamol
29,2015-03-01 00:00:00,261,1,stp,Biogesic Tab,10 tab * 50 stp * box,Paracetamol
29,2015-03-01 00:00:00,257,1,stp,Alaxan Fr,10 cap * 10 stp * box,Ibuprofen and Paracetamol
29,2015-03-01 00:00:00,42,1,bot,Arcalion,30 tab * bot,sulbutiamine
32,2015-03-01 00:00:00,57,1,bot,Enervon-C 100's,100 tab * bot,B complex with C
35,2015-03-01 00:00:00,162,1,bot,Cevit Pol,100 tab * bot,ascorbic acid
23,2015-03-01 00:00:00,235,2,stp,Uciclox 500,10 cap * 10 stp * box,Ampicillin and Cloxacillin
23,2015-03-01 00:00:00,229,2,stp,Metro-250(Umedica),10 tab * 10 stp * box,Metronidazole
23,2015-03-01 00:00:00,636,1,roll,Cotton Roll Diamond,roll,Cotton
23,2015-03-01 00:00:00,362,1,bot,Spirit 100ml Plastic bot mpf,60 bot * box,Spirit
26,2015-03-01 00:00:00,608,4,amp,Alinamin F inj ????,10 amp * box,B Complex
26,2015-03-01 00:00:00,530,1,bot,S2 Drip (Pai) ,bot,Drip
26,2015-03-01 00:00:00,630,1,stp,S2 IV (Zedi),5 amp * stp,Multivitamins and Minerals
26,2015-03-01 00:00:00,625,4,amp,Nootropil 3gm inj,4 amp * stp,Piracetam
26,2015-03-01 00:00:00,616,2,box,Gentamycin Inj(FBC),10 amp * box,Gentamycin
26,2015-03-01 00:00:00,623,2,stp,Analgin inj,10 amp * stp,Analgin
26,2015-03-01 00:00:00,599,2,box,b6 inj (FBC),10 amp * box,b6
26,2015-03-01 00:00:00,606,4,Vial,Dexacort inj,24 Vial * box,Dexamethasone
26,2015-03-01 00:00:00,618,2,Vial,Hydrocort (Belco) inj,10 Vial * box,Hydrocortisone
26,2015-03-01 00:00:00,619,2,box,Hydrocortisone (Huayi) inj,10 amp * box,Hydrocortisone
26,2015-03-01 00:00:00,600,2,box,b12 inj (FBC),10 amp * box,b12
26,2015-03-01 00:00:00,174,2,stp,Zosec,10 cap * 10 stp * box,Omeprazole
26,2015-03-01 00:00:00,620,1,stp,Umeran inj,10 amp * stp,Diclofenac
26,2015-03-01 00:00:00,621,1,stp,Umetac inj,10 amp * stp,Ranitidine
26,2015-03-01 00:00:00,182,2,stp,Umetac 150,10 tab * 10 stp * box,Ranitidine
26,2015-03-01 00:00:00,185,2,stp,Enzyplex,4 tab * 25 stp * box,Digestive Enzyme
26,2015-03-01 00:00:00,609,10,amp,Polybion inj,10 amp * 10 stp * box,B Complex
26,2015-03-01 00:00:00,624,2,stp,Bisolvin China inj,10 amp * stp,Bromhexine
26,2015-03-01 00:00:00,629,1,stp,Multivita inj,5 amp * stp,Multivitamins
26,2015-03-01 00:00:00,601,1,box,Burmeton Thai inj,10 amp * box,Burmeton
26,2015-03-01 00:00:00,610,1,box,B Complex Inj(Zedi),10 amp * box,B Complex
26,2015-03-01 00:00:00,598,1,box,25% Glucose Zedi,5 amp * box,Glucose inj
26,2015-03-01 00:00:00,602,5,amp,Buscopan inj,10 amp * box,Hyoscine Butylbromide
26,2015-03-01 00:00:00,255,1,box,Diclo-M,10 tab * 20 stp * box,Paracetamol and Diclofenac
26,2015-03-01 00:00:00,542,4,stp,Ciproxin 500 (Umedica),10 tab * 10 stp * box,Ciprofloxacin
26,2015-03-01 00:00:00,328,10,pcs,Butterfly Needle Hanako ????,100 pcs * box,Butterfly Needle
26,2015-03-01 00:00:00,324,10,pcs,20 cc (JY) Syringe,50 pcs * box,Syringe
26,2015-03-01 00:00:00,325,10,pcs,5 cc (JY) Syringe,100 pcs * box,Syringe
26,2015-03-01 00:00:00,326,10,pcs,3 cc (JY) Syringe,120 pcs * box,Syringe
26,2015-03-01 00:00:00,154,1,box,Neurobion Blue,10 tab * 10 stp * box,"B1, B6, B12"
26,2015-03-01 00:00:00,153,5,stp,Neurion,10 tab * 100 stp * box,"B1, B6, B12"
26,2015-03-01 00:00:00,25,5,stp,ccb 5,10 tab * 5 stp * box,Amlodipine
26,2015-03-01 00:00:00,514,1,bot,V.Rohto,bot,Eye Drop
43,2015-05-01 00:00:00,590,10,sheet,Lion Plaster,10 sheet * pack,Plaster
43,2015-05-01 00:00:00,185,15,stp,Enzyplex,4 tab * 25 stp * box,Digestive Enzyme
43,2015-05-01 00:00:00,360,1,stp,Degirol,4 tab * 25 stp * box,Lozenges
46,2015-05-01 00:00:00,213,1,stp,Decolgen Forte,10 tab * 10 stp * box,Acetaminophen
49,2015-05-01 00:00:00,360,2,stp,Degirol,4 tab * 25 stp * box,Lozenges
49,2015-05-01 00:00:00,175,1,stp,Pantocid 20,10 tab * 10 stp * box,Pantoprazole
49,2015-05-01 00:00:00,64,3,stp,Magnese Denk,10 cap * 5 stp * box,Magnesium
49,2015-05-01 00:00:00,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
63,2015-05-01 00:00:00,519,1,bot,Betadine Sol,bot,Povidone Iodine
52,2015-05-01 00:00:00,14,1,box,Livolin Forte,10 cap * 3 stp * box,Liver Protect
52,2015-05-01 00:00:00,57,10,tab,Enervon-C 100's,100 tab * bot,B complex with C
